"LTER_site","local_site","date","airtemp_min","airtemp_max","tmin_method","tmax_method","tmax_prlwr","tmax_prupr","tmax_se","tmin_prlwr","tmin_prupr","tmin_se"
"NWT","sdl",1981-09-26,-4,6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-09-27,0,11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-09-28,4,13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-09-29,2,11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-09-30,-4,7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-01,-4,9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-02,-1,8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-03,-4,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-04,-4,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-05,-5,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-06,-4,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-07,0,6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-08,-4,4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-09,-4,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-10,-4,6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-11,1,9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-12,-4,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-13,-4,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-14,-5,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-15,-6,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-16,-10,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-17,-10,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-18,-8,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-19,-5,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-20,-4,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-21,-7,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-22,-8,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-23,-8,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-24,-13,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-25,-13,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-26,-7,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-27,-7,7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-28,-4,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-29,-8,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-30,-3,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-10-31,-5,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-01,-9,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-02,-8,3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-03,-2,4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-04,-3,3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-05,-10,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-06,-13,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-07,-13,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-08,-10,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-09,-8,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-10,-8,3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-11,-7,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-12,-5,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-13,-2,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-14,-5,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-15,-6,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-16,-2,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-17,-3,4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-18,-14,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-19,-15,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-20,-13,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-21,-10,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-22,-12.5,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-23,-6,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-24,-5,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-25,-16,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-26,-18,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-27,-13,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-28,-15,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-29,-10,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-11-30,-11,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-01,-26,-20,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-02,-12.6,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-03,-12,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-04,-9.5,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-05,-8.2,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-06,-4.8,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-07,-5,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-08,-6,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-09,-3,3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-10,-5,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-11,-9,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-12,-10,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-13,-12,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-14,-12,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-15,-15,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-16,-18,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-17,-19,-18,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-18,-17,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-19,-11,-5,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-20,-6,-5,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-21,-16,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-22,-24,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-23,-24,-20,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-24,-22,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-25,-20,-16,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-26,-21,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-27,-21,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-28,-23,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-29,-17,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-30,-13,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1981-12-31,-18,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-01,-15,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-02,-20,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-03,-22,-19,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-04,-22,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-05,-12,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-06,-27,-12,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-07,-26,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-08,-19,-13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-09,-13,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-10,-13,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-11,-16,-9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-12,-21,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-13,-22,-16,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-14,-16,-13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-15,-17,-16,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-16,-17,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-17,-10,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-18,-13,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-19,-13,-9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-20,-16,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-21,-16,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-22,-25,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-23,-26,-13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-24,-12,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-25,-13,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-26,-7,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-27,-17,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-28,-14,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-29,-18,-12,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-30,-16,-12,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-01-31,-16,-13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-01,-21,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-02,-25,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-03,-25,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-04,-27,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-05,-30,-27,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-06,-29,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-07,-16,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-08,-22,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-09,-23,-17,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-10,-20,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-11,-20,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-12,-18,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-13,-12,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-14,-10,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-15,-10,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-16,-11,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-17,-12,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-18,-15,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-19,-11,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-20,-7,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-21,-6,2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-22,-6,0,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-23,-9,-5,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-24,-11,-5,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-25,-14,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-26,-13,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-27,-11,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-02-28,-11,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-01,-8,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-02,-11,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-03,-13,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-04,-18,-13,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-05,-19,-10,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-06,-20,-16,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-07,-16,-11,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-08,-12,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-09,-12,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-10,-9,-7,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-11,-9,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-12,-15,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-13,-11,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-14,-8,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-15,-11,-6,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-16,-12,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-17,-13,-5,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-18,-12,-2,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-19,-18,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-20,-20,-15,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-21,-19,-12,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-22,-17,-9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-23,-16,-9,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-24,-14,-8,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-25,-13,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-26,-10,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-27,-11,-3,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-28,-10,-1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-29,-18,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-30,-18,-14,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-03-31,-16,-4,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
"NWT","sdl",1982-04-01,-7,1,"NSF renewal data","NSF renewal data",NA,NA,NA,NA,NA,NA
